beta beta_min mean_re  
0.9 0.5 40.0 40.0
0.9 const 40.0 40.0
1.5 0.5 40.0 38.0
1.5 const 40.0 40.0
2.0 0.5 40.0 40.0
2.0 const 40.0 40.0
3.0 0.5 40.0 40.0
3.0 const 40.0 39.0
5.0 0.5 40.0 40.0
5.0 const 40.0 40.0
0.9 0.5 3.75 0.077
0.9 const 3.75 0.082
1.5 0.5 3.891 0.078
1.5 const 3.93 0.089
2.0 0.5 4.051 0.081
2.0 const 3.821 0.093
3.0 0.5 3.766 0.079
3.0 const 3.908 0.092
5.0 0.5 4.152 0.081
5.0 const 3.535 0.096
0.9 0.5 0.128 0.002
0.9 const 0.128 0.003
1.5 0.5 0.124 0.003
1.5 const 0.121 0.002
2.0 0.5 0.126 0.003
2.0 const 0.159 0.002
3.0 0.5 0.152 0.002
3.0 const 0.138 0.002
5.0 0.5 0.128 0.002
5.0 const 0.12 0.002
