# block   banditQ2_PL90:10   banditQ2_PL50:10   banditQ2_PL90:50   banditQ2_PL50:50   banditQ2_PL50:90   banditQ2_PL10:50   banditQ2_PL10:90
0.0000 0.5808 0.4467 0.3505 0.4473 0.5075 0.6287 0.4390
10.0000 0.8658 0.6449 0.4308 0.4334 0.4884 0.4057 0.2281
20.0000 0.9167 0.7991 0.5197 0.5031 0.3931 0.2183 0.0976
30.0000 0.9857 0.8440 0.6158 0.5500 0.3213 0.1855 0.0432
40.0000 0.9890 0.8242 0.6772 0.5045 0.2135 0.1120 0.0327
50.0000 0.9865 0.9088 0.7135 0.4627 0.1364 0.0898 0.0217
60.0000 0.9896 0.8841 0.7413 0.4904 0.1065 0.0958 0.0134
70.0000 0.9948 0.9266 0.7552 0.4331 0.1010 0.0980 0.0105
80.0000 0.9924 0.9223 0.8213 0.4755 0.0982 0.1033 0.0026
90.0000 0.9975 0.9253 0.8688 0.4792 0.0775 0.1000 0.0052
